Genome,BioSample,Bioproject_ID,Assigned Taxonomy,Strain,Source_category,Isolation_source
GCF_034929685,SAMN39105919,PRJNA1056764,Vibrio diabolicus,V2,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_043497095,SAMN39706864,PRJNA1071127,Vibrio alginolyticus,V1,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_026537985,SAMN29790269,PRJNA859558,Vibrio parahaemolyticus,NCKU_TN_S02,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_026537545,SAMN29790265,PRJNA859558,Vibrio parahaemolyticus,NCKU_CV_CHN,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_030388405,SAMN32755641,PRJNA924262,Vibrio owensii,SH14,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_000736345,SAMN02910586,PRJNA255173,Vibrio parahaemolyticus,M0904,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_043497075,SAMN39706863,PRJNA1071127,Vibrio parahaemolyticus,SS4-002,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_001010935,SAMN03580733,PRJNA282898,Vibrio parahaemolyticus,SS4-003,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_001013315,SAMN03580732,PRJNA282906,Vibrio parahaemolyticus,SS4-008,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_026537675,SAMN29790250,PRJNA859558,Vibrio parahaemolyticus,SS4-010,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_026537745,SAMN29790249,PRJNA859558,Vibrio parahaemolyticus,SS4-012,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_026537945,SAMN29790273,PRJNA859558,Vibrio parahaemolyticus,SS4-016,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_026537475,SAMN29790272,PRJNA859558,Vibrio parahaemolyticus,SS4-017,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_026537485,SAMN29790271,PRJNA859558,Vibrio parahaemolyticus,SS4-179,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_026537495,SAMN29790266,PRJNA859558,Vibrio parahaemolyticus,XN89,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_050920685,SAMN38108759,PRJNA1035964,Vibrio parahaemolyticus,PSU5579,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_013113815,SAMN12668404,PRJNA563078,Vibrio jasicida,T3G01,Aquaculture (host-associated),Aquaculture (host-associated)
GCF_004121185,SAMN10397792,PRJNA429067,Vibrio parahaemolyticus,MVP10,Aquaculture (host-associated),Aquaculture (host-associated)
