Gene,Cluster,Cluster_Size
VJDLMONK_CDS_0006,0,1
OJOVTSXP_CDS_0070,1,2
DYHBXBOS_CDS_0007,2,16
SYHXOTOJ_CDS_0007,3,5
SWXXHVXO_CDS_0001,4,1
KUZATTKU_CDS_0050,5,1
SLDYFSXT_CDS_0049,6,1
ERMUVGSN_CDS_0008,8,1
BJQDBQUR_CDS_0045,10,1
WIGLRUVH_CDS_0054,12,12
RMCOYDFJ_CDS_0005,13,12
COHDRDAZ_CDS_0013,14,2
PKRUTXUQ_CDS_0009,20,1
NOHWWZML_CDS_0005,21,4
TBVTMQAY_CDS_0004,22,2
ZEJXRUJG_CDS_0041,23,5
LNZXTXPC_CDS_0008,24,2
JMLTUZHB_CDS_0008,25,1
JVWZLDSP_CDS_0048,27,1
CUKVFCYW_CDS_0055,28,1
FHQAXGKA_CDS_0048,30,1
RPRCTXJU_CDS_0042,31,10
SJSJTEEQ_CDS_0044,32,1
RQRYTDSP_CDS_0005,33,1
COHDRDAZ_CDS_0009,35,24
OKMLLGZD_CDS_0005,36,2
YBJKFTRL_CDS_0016,37,1
BVVYEQCN_CDS_0005,38,4
AIHEPIHA_CDS_0006,39,1
RUHYJYAL_CDS_0038,40,1
YCSDHXDK_CDS_0008,41,1
TQDUVTKU_CDS_0007,42,22
SUVKZGGQ_CDS_0042,44,2
JJSOXDKO_CDS_0008,45,1
OPZPAGRP_CDS_0050,47,1
PZWAVLBE_CDS_0043,48,1
DRWTEXPE_CDS_0004,49,1
TCLHXESL_CDS_0035,51,1
FTHELZUE_CDS_0055,54,1
RFJZYJQT_CDS_0041,55,2
URRGVNMU_CDS_0045,56,1
MJKBHVPE_CDS_0009,57,2
VLVJWTMK_CDS_0006,58,1
SUVIOEMW_CDS_0006,59,1
LPCOEJFU_CDS_0023,60,13
BCJGVFWX_CDS_0042,61,1
WTLFLLTP_CDS_0049,62,1
LHJRUKNH_CDS_0054,63,2
MPERNTGB_CDS_0005,67,1
FFUQOPXZ_CDS_0038,68,2
PHLHDAPM_CDS_0039,70,1
DPMMNTRB_CDS_0004,71,1
TQDUVTKU_CDS_0006,72,1
ZXEJHIGA_CDS_0041,73,1
TANRQPIU_CDS_0046,74,2
NLDASGSJ_CDS_0043,75,1
RCNRGUBY_CDS_0043,76,1
RCOEBGEU_CDS_0010,77,1
EYCBASXK_CDS_0014,78,1
HNZWHLLO_CDS_0004,79,3
XFDBRNKB_CDS_0012,80,1
XGAYMFEU_CDS_0042,81,1
FXWNSVXZ_CDS_0006,83,3
BTZYXTWA_CDS_0046,84,1
ZTKRQUYM_CDS_0006,85,5
KEPAAQCL_CDS_0044,86,5
TBMBYLVZ_CDS_0041,87,1
BFWVACZG_CDS_0035,88,4
QVSEZLUO_CDS_0051,89,2
OMCKJEYQ_CDS_0041,90,1
SYHSHUZR_CDS_0044,91,2
LCDKXZYH_CDS_0025,93,2
IMKQBMZM_CDS_0060,95,1
GCDDXOPW_CDS_0032,97,1
XDCDGMZW_CDS_0049,99,3
CJJAXFID_CDS_0017,101,1
SCORMEZI_CDS_0004,102,1
ZKPZZJKM_CDS_0010,104,1
RVVWHECO_CDS_0054,108,1
UDOHTRPA_CDS_0014,109,1
QAFBUGHX_CDS_0004,110,1
VYBJTHUU_CDS_0006,114,10
FUSVCNNF_CDS_0018,123,1
LYSPJVSW_CDS_0009,124,15
COUNOYJB_CDS_0014,125,6
PFGDFQRL_CDS_0084,126,1
LAOWHNCR_CDS_0039,127,9
MLMKEBNZ_CDS_0009,131,1
XELJTSZZ_CDS_0041,134,1
BOHTDYOB_CDS_0061,139,1
SLNVYVOL_CDS_0051,142,8
ZJKQRNXY_CDS_0083,145,1
EYCBASXK_CDS_0011,150,1
DYHBXBOS_CDS_0001,152,3
HAVNGVIQ_CDS_0013,155,2
TBRQIMSE_CDS_0042,158,19
LVDZLEJM_CDS_0097,163,4
TQPKPNSW_CDS_0060,165,1
LMIILVGM_CDS_0069,171,3
LRJGIOXP_CDS_0064,172,5
IMKQBMZM_CDS_0061,173,7
QXJUERBR_CDS_0006,176,1
QQIFXPOX_CDS_0076,184,1
JHYGSOCL_CDS_0001,192,2
EOGCWDNJ_CDS_0059,201,1
VTFTIMVL_CDS_0055,205,1
RQPUEOQR_CDS_0040,206,40
TTOMIAZM_CDS_0013,210,1
URRGVNMU_CDS_0033,212,119
YIHGMDGU_CDS_0059,217,1
LKMKIANT_CDS_0057,218,1
IMKQBMZM_CDS_0029,223,13
UPVCABBH_CDS_0043,226,19
RUHYJYAL_CDS_0042,246,2
BJOJKVGG_CDS_0059,251,1
EYCBASXK_CDS_0017,258,1
TQPKPNSW_CDS_0059,262,1
DXPNEEKQ_CDS_0036,266,4
FOUXVNNG_CDS_0097,284,1
EIZAUKSF_CDS_0064,289,5
GHHSTELZ_CDS_0048,292,1
MBQVAQRH_CDS_0052,300,8
LFPZTEXO_CDS_0001,312,1
QXQMEKDA_CDS_0038,314,4
PNOYGOGG_CDS_0018,316,3
PDBPNKAO_CDS_0072,327,1
LMIILVGM_CDS_0068,329,6
ZJEBDUCW_CDS_0060,358,3
LNZXTXPC_CDS_0017,360,2
FOUXVNNG_CDS_0018,471,1
