Genome,Deepest_taxonomy,Family_subfamily
SAMEA112324418_p1,Canoevirus|Yongunavirus,
SAMEA12312943_p1,Canoevirus|Yongunavirus,
SAMEA8103025_p3,Canoevirus|Yongunavirus,
SAMN02179882_p3,Canoevirus|Yongunavirus,
SAMN02368283_p1,Canoevirus|Yongunavirus,
SAMN02368321_p1,Canoevirus|Yongunavirus,
SAMN02470506_p1,Canoevirus|Yongunavirus,
SAMN02746033_p1,Canoevirus|Yongunavirus,
SAMN03795181_p2,Canoevirus|Yongunavirus,
SAMN04349756_p1,Canoevirus|Yongunavirus,
SAMN05417988_p2,Canoevirus|Yongunavirus,
SAMN05418228_p1,Canoevirus|Yongunavirus,
SAMN05935526_p1,Canoevirus|Yongunavirus,
SAMN05935531_p1,Canoevirus|Yongunavirus,
SAMN07338047_p2,Canoevirus|Yongunavirus,
SAMN07338113_p1,Canoevirus|Yongunavirus,
SAMN08329235_p1,Canoevirus|Yongunavirus,
SAMN09694269_p2,Canoevirus|Yongunavirus,
SAMN09742605_p1,Canoevirus|Yongunavirus,
SAMN11998571_p3,Canoevirus|Yongunavirus,
SAMN12364843_p3,Canoevirus|Yongunavirus,
SAMN12434698_p2,Canoevirus|Yongunavirus,
SAMN15567610_p1,Canoevirus|Yongunavirus,
SAMN16560730_p3,Canoevirus|Yongunavirus,
SAMN18238040_p3,Canoevirus|Yongunavirus,
SAMN20805030_p1,Canoevirus|Yongunavirus,
SAMN20982446_p2,Canoevirus|Yongunavirus,
SAMN21355259_p1,Canoevirus|Yongunavirus,
SAMN24777680_p1,Canoevirus|Yongunavirus,
SAMN24777697_p1,Canoevirus|Yongunavirus,
SAMN28495037_p2,Canoevirus|Yongunavirus,
SAMN28495056_p3,Canoevirus|Yongunavirus,
SAMN28767235_p2,Canoevirus|Yongunavirus,
SAMN29790255_p3,Canoevirus|Yongunavirus,
SAMN29790268_p5,Canoevirus|Yongunavirus,
SAMN30942188_p3,Canoevirus|Yongunavirus,
SAMN39105913_p3,Canoevirus|Yongunavirus,
SAMN39716348_p1,Canoevirus|Yongunavirus,
SAMN40565714_p1,Canoevirus|Yongunavirus,
SAMN40584254_p1,Canoevirus|Yongunavirus,
SAMN43405764_p1,Canoevirus|Yongunavirus,
SAMN43825322_p3,Canoevirus|Yongunavirus,
SAMN50800684_p3,Canoevirus|Yongunavirus,
SAMN52852906_p3,Canoevirus|Yongunavirus,
SAMN07338103_p2,Hapunavirus,
SAMN26741402_p1,Hapunavirus,
SAMN03104872_p2,Icepovirus,
SAMN00989304_p3,Longwoodvirus,
SAMN03104881_p1,Longwoodvirus,
SAMN08984076_p2,Longwoodvirus,
SAMN10970911_p1,Longwoodvirus,
SAMN12057876_p1,Longwoodvirus,
SAMN12168608_p3,Longwoodvirus,
SAMN12648312_p2,Longwoodvirus,
SAMN12670125_p3,Longwoodvirus,
SAMN13897683_p3,Longwoodvirus,
SAMN13897693_p1,Longwoodvirus,
SAMN13897699_p1,Longwoodvirus,
SAMN14944058_p4,Longwoodvirus,
SAMN15654241_p1,Longwoodvirus,
SAMN15818768_p3,Longwoodvirus,
SAMN34315296_p2,Longwoodvirus,
SAMN36689559_p3,Longwoodvirus,
SAMN36689567_p2,Longwoodvirus,
SAMN37977892_p1,Longwoodvirus,
SAMN38476522_p1,Longwoodvirus,
SAMN40160499_p1,Longwoodvirus,
SAMN41254067_p4,Longwoodvirus,
SAMN41254075_p5,Longwoodvirus,
SAMN49797544_p3,Longwoodvirus,
SAMN49797556_p1,Longwoodvirus,
SAMN56681712_p1,Longwoodvirus,
SAMN55846947_p1,Maculvirus,
SAMN19957702_p2,Mardecavirus,
SAMN44771342_p1,Mohonavirus,
SAMN13747351_p4,novel_order_13_of_Caudoviricetes,novel_family_0_of_novel_order_13_of_Caudoviricetes
SAMN39783949_p3,novel_order_13_of_Caudoviricetes,novel_family_0_of_novel_order_13_of_Caudoviricetes
SAMN13404284_p1,novel_order_13_of_Caudoviricetes,novel_family_0_of_novel_order_13_of_Caudoviricetes
SAMN15597501_p2,novel_order_13_of_Caudoviricetes,novel_family_0_of_novel_order_13_of_Caudoviricetes
SAMN18332103_p2,novel_order_13_of_Caudoviricetes,novel_family_0_of_novel_order_13_of_Caudoviricetes
SAMN22211694_p2,novel_order_13_of_Caudoviricetes,novel_family_0_of_novel_order_13_of_Caudoviricetes
SAMN28767226_p2,novel_order_13_of_Caudoviricetes,novel_family_0_of_novel_order_13_of_Caudoviricetes
SAMN28767313_p3,novel_order_13_of_Caudoviricetes,novel_family_0_of_novel_order_13_of_Caudoviricetes
SAMN03195675_p3,novel_order_13_of_Caudoviricetes,novel_family_0_of_novel_order_13_of_Caudoviricetes
SAMN55846946_p3,novel_order_13_of_Caudoviricetes,novel_family_0_of_novel_order_13_of_Caudoviricetes
SAMN18298697_p4,novel_order_13_of_Caudoviricetes,novel_family_1_of_novel_order_13_of_Caudoviricetes
SAMN18298707_p4,novel_order_13_of_Caudoviricetes,novel_family_1_of_novel_order_13_of_Caudoviricetes
SAMN40560781_p3,novel_order_13_of_Caudoviricetes,novel_family_1_of_novel_order_13_of_Caudoviricetes
SAMN40560850_p2,novel_order_13_of_Caudoviricetes,novel_family_1_of_novel_order_13_of_Caudoviricetes
SAMN42940256_p3,novel_order_13_of_Caudoviricetes,novel_family_1_of_novel_order_13_of_Caudoviricetes
SAMN02603666_p2,novel_order_14_of_Caudoviricetes,novel_family_0_of_novel_order_14_of_Caudoviricetes
SAMN05860636_p2,novel_order_14_of_Caudoviricetes,novel_family_0_of_novel_order_14_of_Caudoviricetes
SAMN10362060_p3,novel_order_22_of_Caudoviricetes,novel_family_1_of_novel_order_22_of_Caudoviricetes
SAMN33278197_p2,novel_order_22_of_Caudoviricetes,novel_family_1_of_novel_order_22_of_Caudoviricetes
SAMD00428689_p1,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMEA115017869_p2,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
