gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
RPRCTXJU_CDS_0028	19382	19801	+	SAMEA112157108_p2	-228.4489	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	90.383186	2.09649365768424E-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RPRCTXJU_CDS_0029	19798	20283	+	SAMEA112157108_p2	-1673.891	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	84.656837	1.14781475112232E-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RPRCTXJU_CDS_0030	20273	20941	+	SAMEA112157108_p2	-8200.634	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	62.150684	1.13318298280374E-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ZTKRQUYM_CDS_0019	12446	11850	-	SAMEA112324418_p1	-818.6531	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	51.971214	1.41983230718794E-13	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ZTKRQUYM_CDS_0020	12981	12490	-	SAMEA112324418_p1	-812.9388	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	94.052406	1.4754285531644E-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ZTKRQUYM_CDS_0021	13397	12978	-	SAMEA112324418_p1	-267.8954	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	91.522743	9.34985994812092E-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RCOEBGEU_CDS_0022	14010	13354	-	SAMEA112324421_p4	-793.9309	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	73.646133	3.59640590672001E-20	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RCOEBGEU_CDS_0023	14485	13994	-	SAMEA112324421_p4	-1091.28	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	89.253777	4.42002196639974E-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RCOEBGEU_CDS_0024	14901	14482	-	SAMEA112324421_p4	-148.839	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	87.175934	2.03468342854147E-24	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SWXXHVXO_CDS_0013	11908	11540	-	SAMEA115017710_p3	-47.56013	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	78	88.565987	8.34003337507564E-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	78	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
