vOTU	holin	endolysin	Rz-like spanin	lysis determining protein
SAMN02435859_p3	1	0	1	0
SAMN07192612_p2	1	0	1	0
SAMN07350480_p7	1	0	1	0
SAMN12288798_p2	1	0	1	0
SAMN17159947_p1	1	0	1	0
SAMN36689552_p1	1	0	1	0
SAMN40019047_p3	1	0	1	0
SAMN40160512_p3	1	0	1	0
SAMN45093038_p3	1	0	1	0
SAMN47931951_p1	1	0	1	0
SAMN56681718_p2	1	0	1	0
SAMD00041797_p3	1	1	1	0
SAMD00169732_p2	1	1	1	0
SAMD00178443_p1	1	1	1	0
SAMD00428689_p2	1	1	1	0
SAMEA115017710_p3	1	1	1	0
SAMEA115017867_p4	1	1	1	0
SAMEA115018381_p2	1	1	1	0
SAMEA115018432_p3	1	1	1	0
SAMEA115018494_p6	1	1	1	0
SAMEA115018499_p2	1	1	1	0
SAMEA115018504_p4	1	1	1	0
SAMEA12312935_p1	1	1	1	0
SAMEA2594004_p2	1	1	1	0
SAMEA7061706_p2	1	1	1	0
SAMEA8103036_p1	1	1	1	0
SAMN00989304_p3	1	1	1	0
SAMN02393817_p1	1	1	1	0
SAMN02470293_p2	1	1	1	0
SAMN02470441_p1	1	1	1	0
SAMN02708867_p2	1	1	1	0
SAMN02940923_p2	1	1	1	0
SAMN03021533_p4	1	1	1	0
SAMN03104881_p1	1	1	1	0
SAMN03280973_p2	1	1	1	0
SAMN03483372_p2	1	1	1	0
SAMN03571538_p3	1	1	1	0
SAMN03795179_p2	1	1	1	0
SAMN03996322_p6	1	1	1	0
SAMN04296647_p3	1	1	1	0
SAMN05302750_p2	1	1	1	0
SAMN05417988_p2	1	1	1	0
SAMN05418182_p1	1	1	1	0
SAMN06013680_p2	1	1	1	0
SAMN06013680_p3	1	1	1	0
SAMN06013685_p1	1	1	1	0
SAMN06013686_p1	1	1	1	0
SAMN06115650_p1	1	1	1	0
SAMN06169655_p2	1	1	1	0
SAMN06169655_p4	1	1	1	0
SAMN06184571_p1	1	1	1	0
SAMN06209376_p1	1	1	1	0
SAMN06484414_p1	1	1	1	0
SAMN07337847_p1	1	1	1	0
SAMN07337994_p1	1	1	1	0
SAMN07338005_p2	1	1	1	0
SAMN07338049_p1	1	1	1	0
SAMN07338106_p1	1	1	1	0
SAMN07338114_p2	1	1	1	0
SAMN07338168_p1	1	1	1	0
SAMN07350470_p2	1	1	1	0
SAMN07568193_p2	1	1	1	0
SAMN07739081_p3	1	1	1	0
SAMN07739081_p4	1	1	1	0
SAMN08634427_p1	1	1	1	0
SAMN08805478_p1	1	1	1	0
SAMN08810099_p2	1	1	1	0
SAMN08984076_p2	1	1	1	0
SAMN09208625_p1	1	1	1	0
SAMN09208625_p3	1	1	1	0
SAMN09355280_p2	1	1	1	0
SAMN09386759_p3	1	1	1	0
SAMN09386766_p4	1	1	1	0
SAMN09386781_p2	1	1	1	0
SAMN09386818_p2	1	1	1	0
SAMN09537147_p1	1	1	1	0
SAMN09662877_p2	1	1	1	0
SAMN10362062_p1	1	1	1	0
SAMN10362064_p3	1	1	1	0
SAMN10362072_p1	1	1	1	0
SAMN10362073_p1	1	1	1	0
SAMN10362347_p1	1	1	1	0
SAMN10397789_p1	1	1	1	0
SAMN10601626_p1	1	1	1	0
SAMN10702681_p3	1	1	1	0
SAMN10963619_p1	1	1	1	0
SAMN10970911_p1	1	1	1	0
SAMN11039182_p1	1	1	1	0
SAMN11287979_p2	1	1	1	0
SAMN11998571_p3	1	1	1	0
SAMN12057825_p1	1	1	1	0
SAMN12057861_p1	1	1	1	0
SAMN12057876_p1	1	1	1	0
SAMN12168583_p1	1	1	1	0
SAMN12168608_p3	1	1	1	0
SAMN12404565_p2	1	1	1	0
SAMN12604281_p2	1	1	1	0
SAMN12648260_p3	1	1	1	0
SAMN12648275_p1	1	1	1	0
SAMN12648275_p3	1	1	1	0
SAMN12648294_p1	1	1	1	0
SAMN12648298_p4	1	1	1	0
SAMN12648299_p1	1	1	1	0
SAMN12648299_p2	1	1	1	0
SAMN12648305_p3	1	1	1	0
SAMN12648312_p2	1	1	1	0
SAMN12648323_p2	1	1	1	0
SAMN12668396_p2	1	1	1	0
SAMN12670125_p3	1	1	1	0
SAMN12816916_p2	1	1	1	0
SAMN13023390_p2	1	1	1	0
SAMN13049604_p1	1	1	1	0
SAMN13404285_p1	1	1	1	0
SAMN13500476_p2	1	1	1	0
SAMN13500487_p2	1	1	1	0
SAMN13704165_p2	1	1	1	0
SAMN13897683_p3	1	1	1	0
SAMN13897693_p1	1	1	1	0
SAMN13897699_p1	1	1	1	0
SAMN14752702_p2	1	1	1	0
SAMN14944058_p4	1	1	1	0
SAMN14944065_p3	1	1	1	0
SAMN15206675_p1	1	1	1	0
SAMN15597503_p1	1	1	1	0
SAMN15654241_p1	1	1	1	0
SAMN15667311_p4	1	1	1	0
SAMN15763361_p1	1	1	1	0
SAMN15763361_p2	1	1	1	0
SAMN15763362_p1	1	1	1	0
SAMN15763365_p1	1	1	1	0
SAMN15818768_p3	1	1	1	0
SAMN16072611_p2	1	1	1	0
SAMN16268043_p1	1	1	1	0
SAMN17214697_p1	1	1	1	0
SAMN17214697_p3	1	1	1	0
SAMN17298282_p3	1	1	1	0
SAMN17298282_p4	1	1	1	0
SAMN17298289_p2	1	1	1	0
SAMN18238003_p1	1	1	1	0
SAMN18238027_p1	1	1	1	0
SAMN18238058_p2	1	1	1	0
SAMN18298673_p2	1	1	1	0
SAMN18298680_p2	1	1	1	0
SAMN18298690_p4	1	1	1	0
SAMN18298706_p3	1	1	1	0
SAMN18298710_p2	1	1	1	0
SAMN18298714_p1	1	1	1	0
SAMN18298716_p2	1	1	1	0
SAMN18298729_p5	1	1	1	0
SAMN18298730_p1	1	1	1	0
SAMN18298732_p2	1	1	1	0
SAMN18298736_p1	1	1	1	0
SAMN18385663_p2	1	1	1	0
SAMN19957696_p3	1	1	1	0
SAMN20805033_p1	1	1	1	0
SAMN20805038_p6	1	1	1	0
SAMN20805042_p1	1	1	1	0
SAMN20805042_p2	1	1	1	0
SAMN20805043_p1	1	1	1	0
SAMN20805043_p6	1	1	1	0
SAMN20805044_p5	1	1	1	0
SAMN20805069_p1	1	1	1	0
SAMN24372625_p1	1	1	1	0
SAMN24593212_p2	1	1	1	0
SAMN24593217_p7	1	1	1	0
SAMN24593218_p2	1	1	1	0
SAMN24593227_p3	1	1	1	0
SAMN24777693_p2	1	1	1	0
SAMN24777710_p1	1	1	1	0
SAMN24907452_p1	1	1	1	0
SAMN24907466_p1	1	1	1	0
SAMN24907466_p3	1	1	1	0
SAMN26741749_p4	1	1	1	0
SAMN26982640_p1	1	1	1	0
SAMN28494981_p2	1	1	1	0
SAMN28494981_p3	1	1	1	0
SAMN28494997_p1	1	1	1	0
SAMN28495001_p3	1	1	1	0
SAMN28495012_p4	1	1	1	0
SAMN28495016_p5	1	1	1	0
SAMN28495029_p3	1	1	1	0
SAMN28495032_p1	1	1	1	0
SAMN28495033_p1	1	1	1	0
SAMN28495034_p4	1	1	1	0
SAMN28495039_p2	1	1	1	0
SAMN28495049_p2	1	1	1	0
SAMN28495051_p1	1	1	1	0
SAMN28672590_p3	1	1	1	0
SAMN28672590_p4	1	1	1	0
SAMN28767221_p10	1	1	1	0
SAMN28767223_p1	1	1	1	0
SAMN28767227_p1	1	1	1	0
SAMN28767231_p1	1	1	1	0
SAMN28767244_p1	1	1	1	0
SAMN28767271_p6	1	1	1	0
SAMN28767313_p6	1	1	1	0
SAMN28767349_p1	1	1	1	0
SAMN29328593_p1	1	1	1	0
SAMN29395242_p2	1	1	1	0
SAMN30308487_p1	1	1	1	0
SAMN30418570_p2	1	1	1	0
SAMN30916808_p1	1	1	1	0
SAMN31132893_p2	1	1	1	0
SAMN31656038_p2	1	1	1	0
SAMN32406675_p2	1	1	1	0
SAMN32406675_p3	1	1	1	0
