vOTU	species_count	species_list	species_count_robust	species_list_robust	phage_count	spacer_count	host_count	checkv_quality
SAMN12057825_p1	6	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae;Vibrio vulnificus	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	1	502	206	Medium-quality
SAMN02435867_p5	6	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae;Vibrio vulnificus	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	250	162	Medium-quality
SAMN14752702_p2	6	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae;Vibrio vulnificus	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	376	202	Medium-quality
SAMN11287979_p2	5	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae;Vibrio vulnificus	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	511	214	High-quality
SAMN16072611_p2	5	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae;Vibrio vulnificus	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	473	220	High-quality
SAMN12168583_p1	5	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae;Vibrio vulnificus	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	456	202	Medium-quality
SAMN40453155_p1	5	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae;Vibrio vulnificus	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio vulnificus	1	70	57	High-quality
SAMN44286666_p2	5	Vibrio cholerae;Vibrio cidicii;Vibrio fluvialis;Vibrio navarrensis;Vibrio vulnificus	5	Vibrio cholerae;Vibrio cidicii;Vibrio fluvialis;Vibrio navarrensis;Vibrio vulnificus	1	76	55	High-quality
SAMN05356867_p2	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	2	650	272	High-quality
SAMN55333167_p1	5	Vibrio cholerae;Vibrio fluvialis;Vibrio furnissii;Vibrio navarrensis;Vibrio vulnificus	4	Vibrio cholerae;Vibrio fluvialis;Vibrio navarrensis;Vibrio vulnificus	1	19	15	High-quality
SAMN02393808_p2	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	1	633	255	Complete
SAMN12057836_p2	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	760	282	High-quality
SAMN08741621_p1	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	566	271	High-quality
SAMN39832058_p1	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	443	206	Medium-quality
SAMN12057860_p1	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	4	871	300	High-quality
SAMN07350482_p1	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	4	892	311	High-quality
SAMN36689570_p3	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	2	780	304	High-quality
SAMN13704164_p2	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	30	957	319	High-quality
SAMN38476540_p3	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	49	1318	342	High-quality
SAMN13704165_p2	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	535	224	High-quality
SAMN13897687_p1	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	600	256	High-quality
SAMN26982640_p1	5	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis;Vibrio parahaemolyticus;Vibrio vulnificus	4	Vibrio harveyi;Vibrio navarrensis;Vibrio parahaemolyticus;Vibrio vulnificus	2	25	24	High-quality
SAMN12648298_p4	5	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis;Vibrio parahaemolyticus;Vibrio vulnificus	3	Vibrio harveyi;Vibrio navarrensis;Vibrio parahaemolyticus	1	22	22	Medium-quality
SAMN06013688_p2	5	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis;Vibrio parahaemolyticus;Vibrio vulnificus	4	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis;Vibrio parahaemolyticus	1	26	24	Medium-quality
SAMN12648323_p2	5	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae;Vibrio vulnificus	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	8	631	246	Medium-quality
SAMN53475254_p2	5	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae;Vibrio vulnificus	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	2	465	209	High-quality
SAMN36689570_p5	5	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae;Vibrio vulnificus	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	444	202	Medium-quality
SAMN07350496_p1	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	2	278	179	Medium-quality
SAMEA115017710_p3	5	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae;Vibrio vulnificus	4	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae;Vibrio vulnificus	2	344	201	Medium-quality
